"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Colon cancer (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:00:35 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","71.6472","0.0000","0.0000","0.5000","","","","","","","","","","","","","","","","","",""
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","70.7852","0.0000","0.0000","1.5000","","","","","","","","","","","","","","","","","",""
"2","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","69.7990","0.0000","0.0000","2.5000","","","","","","","","","","","","","","","","","",""
"3","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","68.8090","0.0000","0.0000","3.5000","","","","","","","","","","","","","","","","","",""
"4","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","67.8172","0.0000","0.0000","4.5000","","","","","","","","","","","","","","","","","",""
"5","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","66.8226","0.0000","0.0000","5.5000","","","","","","","","","","","","","","","","","",""
"6","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0000","65.8270","0.0000","0.0000","6.5000","","","","","","","","","","","","","","","","","",""
"7","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","64.8314","0.0000","0.0000","7.5000","","","","","","","","","","","","","","","","","",""
"8","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","63.8368","0.0000","1.0000","8.5000","","","","","","","","","","","","","","","","","",""
"9","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","62.8430","0.0000","1.0000","9.5000","","","","","","","","","","","","","","","","","",""
"10","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","61.8492","0.0000","1.0000","10.5000","","","","","","","","","","","","","","","","","",""
"11","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","60.8539","0.0000","0.0000","11.5000","","","","","","","","","","","","","","","","","",""
"12","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","59.8586","0.0000","0.0000","12.5000","","","","","","","","","","","","","","","","","",""
"13","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","58.8654","0.0000","1.0000","13.5000","","","","","","","","","","","","","","","","","",""
"14","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","57.8750","0.0000","1.0000","14.5000","","","","","","","","","","","","","","","","","",""
"15","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","56.8855","0.0000","1.0000","15.5000","","","","","","","","","","","","","","","","","",""
"16","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0000","55.8968","0.0000","1.0000","16.5000","","","","","","","","","","","","","","","","","",""
"17","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0000","54.9139","0.0000","1.0000","17.5000","","","","","","","","","","","","","","","","","",""
"18","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0000","53.9381","0.0000","0.0000","18.5000","","","","","","","","","","","","","","","","","",""
"19","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0000","52.9676","0.0000","0.0000","19.5000","","","","","","","","","","","","","","","","","",""
"20","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000","0.0000","51.9990","0.0000","0.0000","20.5000","","","","","","","","","","","","","","","","","",""
"21","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000","0.0000","51.0287","0.0000","0.0000","21.5000","","","","","","","","","","","","","","","","","",""
"22","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000","0.0000","50.0555","0.0000","0.0000","22.5000","","","","","","","","","","","","","","","","","",""
"23","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000","0.0000","49.0821","0.0000","0.0000","23.5000","","","","","","","","","","","","","","","","","",""
"24","0.0000","0.0000","0.0000","0.0000","0.0006","0.0000","0.0000","48.1117","0.0000","0.0000","24.5000","","","","","","","","","","","","","","","","","",""
"25","0.0000","0.0000","0.0000","0.0000","0.0006","0.0000","0.0002","47.1466","0.0000","1.3575","25.5000","","","","","","","","","","","","","","","","","",""
"26","0.0000","0.0000","0.0000","0.0000","0.0006","0.0000","0.0006","46.1951","0.0000","2.0566","26.5000","","","","","","","","","","","","","","","","","",""
"27","0.0000","0.0000","0.0000","0.0000","0.0006","0.0000","0.0013","45.2669","0.0000","3.1910","27.5000","","","","","","","","","","","","","","","","","",""
"28","0.0000","0.0000","0.0000","0.0000","0.0007","0.0000","0.0022","44.3731","0.0000","4.0757","28.5000","","","","","","","","","","","","","","","","","",""
"29","0.0000","0.0000","0.0000","0.0000","0.0007","0.0000","0.0032","43.5231","0.0000","5.3698","29.5000","","","","","","","","","","","","","","","","","",""
"30","0.0001","0.0000","0.0000","0.0001","0.0008","0.0000","0.0045","42.7238","0.0000","6.6081","30.5000","","","","","","","","","","","","","","","","","",""
"31","0.0001","0.0000","0.0000","0.0001","0.0008","0.0000","0.0057","41.9721","0.0000","9.1166","31.5000","","","","","","","","","","","","","","","","","",""
"32","0.0001","0.0000","0.0000","0.0001","0.0009","0.0000","0.0065","41.2597","0.0000","8.1703","32.5000","","","","","","","","","","","","","","","","","",""
"33","0.0001","0.0000","0.0000","0.0001","0.0009","0.0000","0.0070","40.5713","0.0000","9.6362","33.5000","","","","","","","","","","","","","","","","","",""
"34","0.0001","0.0000","0.0000","0.0001","0.0010","0.0000","0.0071","39.8896","0.0000","9.0489","34.5000","","","","","","","","","","","","","","","","","",""
"35","0.0001","0.0000","0.0000","0.0001","0.0011","0.0000","0.0069","39.2031","0.0000","8.6080","35.5000","","","","","","","","","","","","","","","","","",""
"36","0.0001","0.0000","0.0000","0.0001","0.0011","0.0000","0.0064","38.5017","0.0000","6.4931","36.5000","","","","","","","","","","","","","","","","","",""
"37","0.0001","0.0000","0.0000","0.0001","0.0012","0.0000","0.0056","37.7729","0.0000","6.0812","37.5000","","","","","","","","","","","","","","","","","",""
"38","0.0001","0.0000","0.0000","0.0001","0.0013","0.0000","0.0049","37.0110","0.0000","5.2249","38.5000","","","","","","","","","","","","","","","","","",""
"39","0.0001","0.0000","0.0000","0.0001","0.0013","0.0000","0.0043","36.2234","0.0000","4.4839","39.5000","","","","","","","","","","","","","","","","","",""
"40","0.0001","0.0000","0.0000","0.0001","0.0014","0.0000","0.0038","35.4157","0.0000","3.8078","40.5000","","","","","","","","","","","","","","","","","",""
"41","0.0001","0.0000","0.0000","0.0001","0.0015","0.0000","0.0035","34.5924","0.0000","3.3742","41.5000","","","","","","","","","","","","","","","","","",""
"42","0.0001","0.0000","0.0000","0.0001","0.0016","0.0000","0.0032","33.7569","0.0000","3.0472","42.5000","","","","","","","","","","","","","","","","","",""
"43","0.0001","0.0000","0.0000","0.0001","0.0018","0.0000","0.0031","32.9119","0.0000","3.1741","43.5000","","","","","","","","","","","","","","","","","",""
"44","0.0001","0.0000","0.0000","0.0001","0.0019","0.0000","0.0032","32.0708","0.0000","2.6296","44.5000","","","","","","","","","","","","","","","","","",""
"45","0.0002","0.0000","0.0000","0.0002","0.0021","0.0000","0.0035","31.2410","0.0000","2.6457","45.5000","","","","","","","","","","","","","","","","","",""
"46","0.0002","0.0000","0.0000","0.0002","0.0022","0.0000","0.0038","30.4180","0.0000","2.7934","46.5000","","","","","","","","","","","","","","","","","",""
"47","0.0002","0.0000","0.0000","0.0002","0.0024","0.0000","0.0043","29.6090","0.0000","2.7224","47.5000","","","","","","","","","","","","","","","","","",""
"48","0.0002","0.0000","0.0000","0.0002","0.0026","0.0000","0.0049","28.8126","0.0000","3.2096","48.5000","","","","","","","","","","","","","","","","","",""
"49","0.0002","0.0000","0.0000","0.0002","0.0028","0.0000","0.0056","28.0303","0.0000","3.1821","49.5000","","","","","","","","","","","","","","","","","",""
"50","0.0003","0.0000","0.0000","0.0002","0.0030","0.0000","0.0062","27.2667","0.0000","3.3078","50.5000","","","","","","","","","","","","","","","","","",""
"51","0.0003","0.0000","0.0000","0.0003","0.0033","0.0000","0.0068","26.5172","0.0000","3.3122","51.5000","","","","","","","","","","","","","","","","","",""
"52","0.0003","0.0000","0.0000","0.0003","0.0035","0.0000","0.0073","25.7791","0.0000","3.3733","52.5000","","","","","","","","","","","","","","","","","",""
"53","0.0003","0.0000","0.0000","0.0003","0.0038","0.0000","0.0077","25.0503","0.0000","3.3016","53.5000","","","","","","","","","","","","","","","","","",""
"54","0.0003","0.0000","0.0000","0.0003","0.0041","0.0000","0.0081","24.3322","0.0000","3.1198","54.5000","","","","","","","","","","","","","","","","","",""
"55","0.0005","0.0000","0.0001","0.0004","0.0044","0.0000","0.0083","23.6220","0.0000","3.0609","55.5000","","","","","","","","","","","","","","","","","",""
"56","0.0005","0.0000","0.0001","0.0004","0.0048","0.0000","0.0086","22.9201","0.0000","2.8538","56.5000","","","","","","","","","","","","","","","","","",""
"57","0.0005","0.0000","0.0001","0.0005","0.0052","0.0000","0.0089","22.2238","0.0000","2.8832","57.5000","","","","","","","","","","","","","","","","","",""
"58","0.0005","0.0000","0.0001","0.0005","0.0056","0.0000","0.0093","21.5320","0.0001","2.7380","58.5000","","","","","","","","","","","","","","","","","",""
"59","0.0005","0.0000","0.0001","0.0006","0.0061","0.0000","0.0096","20.8470","0.0001","2.6790","59.5000","","","","","","","","","","","","","","","","","",""
"60","0.0008","0.0000","0.0001","0.0006","0.0066","0.0000","0.0099","20.1692","0.0001","2.5482","60.5000","","","","","","","","","","","","","","","","","",""
"61","0.0008","0.0000","0.0001","0.0007","0.0072","0.0000","0.0102","19.4983","0.0001","2.5004","61.5000","","","","","","","","","","","","","","","","","",""
"62","0.0008","0.0000","0.0001","0.0008","0.0079","0.0000","0.0106","18.8363","0.0001","2.3610","62.5000","","","","","","","","","","","","","","","","","",""
"63","0.0008","0.0000","0.0001","0.0009","0.0086","0.0000","0.0110","18.1783","0.0001","2.4115","63.5000","","","","","","","","","","","","","","","","","",""
"64","0.0008","0.0000","0.0001","0.0009","0.0094","0.0000","0.0114","17.5220","0.0001","2.3226","64.5000","","","","","","","","","","","","","","","","","",""
"65","0.0011","0.0000","0.0002","0.0010","0.0103","0.0000","0.0118","16.8746","0.0001","2.2460","65.5000","","","","","","","","","","","","","","","","","",""
"66","0.0011","0.0000","0.0002","0.0011","0.0112","0.0000","0.0122","16.2351","0.0001","2.1827","66.5000","","","","","","","","","","","","","","","","","",""
"67","0.0011","0.0000","0.0002","0.0011","0.0121","0.0000","0.0126","15.6070","0.0002","2.0641","67.5000","","","","","","","","","","","","","","","","","",""
"68","0.0011","0.0000","0.0002","0.0012","0.0131","0.0000","0.0129","14.9862","0.0002","2.0345","68.5000","","","","","","","","","","","","","","","","","",""
"69","0.0011","0.0000","0.0002","0.0013","0.0142","0.0000","0.0132","14.3677","0.0002","1.9606","69.5000","","","","","","","","","","","","","","","","","",""
"70","0.0019","0.0000","0.0002","0.0015","0.0154","0.0000","0.0134","13.7527","0.0002","1.8993","70.5000","","","","","","","","","","","","","","","","","",""
"71","0.0019","0.0000","0.0002","0.0016","0.0167","0.0000","0.0135","13.1447","0.0002","1.7926","71.5000","","","","","","","","","","","","","","","","","",""
"72","0.0019","0.0000","0.0002","0.0018","0.0181","0.0000","0.0135","12.5438","0.0002","1.7293","72.5000","","","","","","","","","","","","","","","","","",""
"73","0.0019","0.0000","0.0002","0.0019","0.0197","0.0000","0.0136","11.9535","0.0003","1.6227","73.5000","","","","","","","","","","","","","","","","","",""
"74","0.0019","0.0000","0.0002","0.0021","0.0214","0.0000","0.0136","11.3708","0.0003","1.5865","74.5000","","","","","","","","","","","","","","","","","",""
"75","0.0028","0.0000","0.0004","0.0022","0.0232","0.0000","0.0137","10.7860","0.0003","1.5445","75.5000","","","","","","","","","","","","","","","","","",""
"76","0.0028","0.0000","0.0004","0.0024","0.0251","0.0000","0.0138","10.2072","0.0003","1.4849","76.5000","","","","","","","","","","","","","","","","","",""
"77","0.0028","0.0000","0.0004","0.0026","0.0272","0.0000","0.0139","9.6492","0.0004","1.4113","77.5000","","","","","","","","","","","","","","","","","",""
"78","0.0028","0.0000","0.0004","0.0027","0.0294","0.0000","0.0141","9.1120","0.0004","1.3723","78.5000","","","","","","","","","","","","","","","","","",""
"79","0.0028","0.0000","0.0004","0.0029","0.0317","0.0000","0.0143","8.5778","0.0005","1.3560","79.5000","","","","","","","","","","","","","","","","","",""
"80","0.0033","0.0000","0.0006","0.0030","0.0340","0.0000","0.0145","8.0530","0.0005","1.3132","80.5000","","","","","","","","","","","","","","","","","",""
"81","0.0033","0.0000","0.0006","0.0031","0.0365","0.0000","0.0148","7.5459","0.0005","1.2867","81.5000","","","","","","","","","","","","","","","","","",""
"82","0.0033","0.0000","0.0006","0.0033","0.0391","0.0000","0.0152","7.0616","0.0006","1.2493","82.5000","","","","","","","","","","","","","","","","","",""
"83","0.0033","0.0000","0.0006","0.0034","0.0416","0.0000","0.0155","6.5934","0.0006","1.2370","83.5000","","","","","","","","","","","","","","","","","",""
"84","0.0033","0.0000","0.0006","0.0035","0.0442","0.0000","0.0159","6.1430","0.0007","1.2063","84.5000","","","","","","","","","","","","","","","","","",""
"85","0.0035","0.0000","0.0010","0.0035","0.0469","0.0000","0.0165","5.7278","0.0008","1.1854","85.5000","","","","","","","","","","","","","","","","","",""
"86","0.0035","0.0000","0.0010","0.0035","0.0495","0.0000","0.0173","5.3408","0.0009","1.1718","86.5000","","","","","","","","","","","","","","","","","",""
"87","0.0035","0.0000","0.0010","0.0036","0.0520","0.0000","0.0182","4.9686","0.0009","1.1656","87.5000","","","","","","","","","","","","","","","","","",""
"88","0.0035","0.0000","0.0010","0.0035","0.0544","0.0000","0.0192","4.6239","0.0010","1.1488","88.5000","","","","","","","","","","","","","","","","","",""
"89","0.0035","0.0000","0.0010","0.0035","0.0567","0.0000","0.0204","4.3236","0.0012","1.1384","89.5000","","","","","","","","","","","","","","","","","",""
"90","0.0030","0.0000","0.0017","0.0034","0.0588","0.0000","0.0217","4.0534","0.0013","1.1338","90.5000","","","","","","","","","","","","","","","","","",""
"91","0.0030","0.0000","0.0017","0.0034","0.0607","0.0000","0.0229","3.8085","0.0014","1.1267","91.5000","","","","","","","","","","","","","","","","","",""
"92","0.0030","0.0000","0.0017","0.0033","0.0625","0.0000","0.0238","3.5963","0.0015","1.1181","92.5000","","","","","","","","","","","","","","","","","",""
"93","0.0030","0.0000","0.0017","0.0032","0.0641","0.0000","0.0245","3.4058","0.0016","1.1133","93.5000","","","","","","","","","","","","","","","","","",""
"94","0.0030","0.0000","0.0017","0.0032","0.0656","0.0000","0.0248","3.2522","0.0016","1.1001","94.5000","","","","","","","","","","","","","","","","","",""
"95","0.0030","0.0000","0.0017","0.0032","0.0671","0.0000","0.0249","3.1273","0.0017","1.0980","95.5000","","","","","","","","","","","","","","","","","",""
"96","0.0030","0.0000","0.0017","0.0032","0.0685","0.0000","0.0247","3.0229","0.0017","1.0873","96.5000","","","","","","","","","","","","","","","","","",""
"97","0.0030","0.0000","0.0017","0.0032","0.0699","0.0000","0.0243","2.8939","0.0017","1.0945","97.5000","","","","","","","","","","","","","","","","","",""
"98","0.0030","0.0000","0.0017","0.0032","0.0713","0.0000","0.0239","2.7881","0.0017","1.0721","98.5000","","","","","","","","","","","","","","","","","",""
"99","0.0030","0.0000","0.0017","0.0032","0.0726","0.0000","0.0235","2.7572","0.0017","1.0727","99.5000","","","","","","","","","","","","","","","","","",""
"100+","0.0030","0.0000","0.0017","0.0032","0.0740","0.0000","0.0233","2.7313","0.0017","1.0677","102.4025","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","NA","0.0001","0.0004","0.0050","0.0000","0.0129","15.3271","0.0001","1.7334","69.1822","","","","","","","","","","","","","","","","","",""
